raw_score_2,THETA_2,csem_2,scale_score_2,ss_csem,Perf_Level_2,cut1,cut2,cut3
7,-7.52013,1.84871,801,157,Level 1,-3.71394,-0.89878,1.31973
8,-6.26205,1.03451,908,88,Level 1,-3.71394,-0.89878,1.31973
9,-5.50812,0.74306,972,63,Level 1,-3.71394,-0.89878,1.31973
10,-5.05711,0.61106,1010,52,Level 1,-3.71394,-0.89878,1.31973
11,-4.73272,0.53324,1038,45,Level 1,-3.71394,-0.89878,1.31973
12,-4.47592,0.4834,1060,41,Level 1,-3.71394,-0.89878,1.31973
13,-4.25868,0.45092,1078,38,Level 1,-3.71394,-0.89878,1.31973
14,-4.06526,0.43024,1094,37,Level 1,-3.71394,-0.89878,1.31973
15,-3.88586,0.41805,1110,36,Level 1,-3.71394,-0.89878,1.31973
16,-3.71394,0.41208,1124,35,Level 2,-3.71394,-0.89878,1.31973
17,-3.54499,0.41063,1139,35,Level 2,-3.71394,-0.89878,1.31973
18,-3.37587,0.41226,1153,35,Level 2,-3.71394,-0.89878,1.31973
19,-3.20457,0.41573,1168,35,Level 2,-3.71394,-0.89878,1.31973
20,-3.02997,0.42004,1182,36,Level 2,-3.71394,-0.89878,1.31973
21,-2.85165,0.42452,1198,36,Level 2,-3.71394,-0.89878,1.31973
22,-2.66958,0.42884,1213,36,Level 2,-3.71394,-0.89878,1.31973
23,-2.48391,0.43292,1229,37,Level 2,-3.71394,-0.89878,1.31973
24,-2.29479,0.4368,1245,37,Level 2,-3.71394,-0.89878,1.31973
25,-2.10236,0.44052,1261,37,Level 2,-3.71394,-0.89878,1.31973
26,-1.90673,0.44403,1278,38,Level 2,-3.71394,-0.89878,1.31973
27,-1.70813,0.44717,1295,38,Level 2,-3.71394,-0.89878,1.31973
28,-1.50703,0.44956,1312,38,Level 2,-3.71394,-0.89878,1.31973
29,-1.30428,0.45077,1329,38,Level 2,-3.71394,-0.89878,1.31973
30,-1.10109,0.4505,1346,38,Level 2,-3.71394,-0.89878,1.31973
31,-0.89878,0.44888,1364,38,Level 3,-3.71394,-0.89878,1.31973
32,-0.69832,0.44655,1381,38,Level 3,-3.71394,-0.89878,1.31973
33,-0.4999,0.44443,1398,38,Level 3,-3.71394,-0.89878,1.31973
34,-0.303,0.44325,1414,38,Level 3,-3.71394,-0.89878,1.31973
35,-0.10659,0.44333,1431,38,Level 3,-3.71394,-0.89878,1.31973
36,0.09042,0.44455,1448,38,Level 3,-3.71394,-0.89878,1.31973
37,0.28888,0.44653,1465,38,Level 3,-3.71394,-0.89878,1.31973
38,0.48934,0.44896,1482,38,Level 3,-3.71394,-0.89878,1.31973
39,0.69212,0.45173,1499,38,Level 3,-3.71394,-0.89878,1.31973
40,0.89761,0.45502,1516,39,Level 3,-3.71394,-0.89878,1.31973
41,1.10648,0.45919,1534,39,Level 3,-3.71394,-0.89878,1.31973
42,1.31973,0.46465,1552,39,Level 4,-3.71394,-0.89878,1.31973
43,1.53885,0.47189,1571,40,Level 4,-3.71394,-0.89878,1.31973
44,1.7659,0.48155,1590,41,Level 4,-3.71394,-0.89878,1.31973
45,2.00383,0.49467,1610,42,Level 4,-3.71394,-0.89878,1.31973
46,2.25709,0.51278,1632,44,Level 4,-3.71394,-0.89878,1.31973
47,2.53253,0.53824,1655,46,Level 4,-3.71394,-0.89878,1.31973
48,2.84106,0.57472,1681,49,Level 4,-3.71394,-0.89878,1.31973
49,3.20105,0.6285,1712,53,Level 4,-3.71394,-0.89878,1.31973
50,3.64646,0.71198,1750,61,Level 4,-3.71394,-0.89878,1.31973
51,4.25021,0.85376,1801,73,Level 4,-3.71394,-0.89878,1.31973
52,5.21616,1.14956,1883,98,Level 4,-3.71394,-0.89878,1.31973
53,6.66696,1.9263,2007,164,Level 4,-3.71394,-0.89878,1.31973
